title,genre,description,director,cast
Die Hard,action,NYPD detective John McClane flies to Los Angeles to reunite with his estranged wife only to find her office building seized by a charismatic German terrorist. Trapped on an upper floor he must use his wits and a pistol to pick off the criminals one by one.,John McTiernan,Bruce Willis;Alan Rickman;Bonnie Bedelia
Mad Max: Fury Road,action,In a post-apocalyptic wasteland former prisoner Max teams up with Imperator Furiosa to escape a tyrannical warlord and his army. Their desperate chase across the desert becomes a fight for survival and redemption.,George Miller,Tom Hardy;Charlize Theron;Nicholas Hoult
John Wick,action,After the death of his wife a retired hitman is pulled back into the criminal underworld when a mobsters son steals his car and kills his dog. The rampage that follows reminds everyone why his nickname is the Baba Yaga.,Chad Stahelski,Keanu Reeves;Michael Nyqvist;Alfie Allen
The Dark Knight,action,Batman faces his greatest challenge yet as the Joker a chaos-obsessed criminal mastermind unleashes a campaign of terror on Gotham City. The line between hero and vigilante blurs as the city descends into madness.,Christopher Nolan,Christian Bale;Heath Ledger;Aaron Eckhart
Gladiator,action,A betrayed Roman general is forced into slavery and becomes a gladiator who rises through the ranks of the arena. His ultimate goal is to seek revenge against the corrupt emperor who murdered his family.,Ridley Scott,Russell Crowe;Joaquin Phoenix;Connie Nielsen
Mission: Impossible - Fallout,action,Ethan Hunt and his IMF team are in a race against time after a mission goes wrong and nuclear weapons fall into the hands of terrorist apostles. With the clock ticking Hunt must confront his past to prevent global catastrophe.,Christopher McQuarrie,Tom Cruise;Henry Cavill;Ving Rhames
The Matrix,action,A computer programmer named Neo discovers that reality as he knows it is a simulation created by intelligent machines. He joins a group of freedom fighters to overthrow the machines and free humanity.,Lana Wachowski;Lilly Wachowski,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss
Raiders of the Lost Ark,action,Archaeologist Indiana Jones is hired by the US government to find the Ark of the Covenant before the Nazis can harness its divine power. His globe-trotting quest is filled with booby traps snakes and narrow escapes.,Steven Spielberg,Harrison Ford;Karen Allen;Paul Freeman
Terminator 2: Judgment Day,action,A cyborg from the future is sent back in time to protect a young John Connor from a more advanced liquid-metal assassin. Together they must prevent the apocalyptic future that awaits humanity.,James Cameron,Arnold Schwarzenegger;Linda Hamilton;Robert Patrick
Casino Royale,action,British secret agent James Bond earns his 00 status and embarks on his first mission to stop a terrorist financier at a high-stakes poker game in Montenegro. Along the way he falls in love only to face a devastating betrayal.,Martin Campbell,Daniel Craig;Eva Green;Mads Mikkelsen
Superbad,comedy,Two socially awkward high school seniors try to make the most of their last weekend before graduation by attending a party and buying alcohol. Their mission spirals into a series of absurd misadventures that test their friendship.,Greg Mottola,Jonah Hill;Michael Cera;Christopher Mintz-Plasse
The Hangover,comedy,Three friends wake up in Las Vegas with no memory of the previous night a missing groom and a tiger in their bathroom. They must retrace their steps and piece together the chaos to make it to the wedding on time.,Todd Phillips,Bradley Cooper;Ed Helms;Zach Galifianakis
Bridesmaids,comedy,Annie a down-on-her-luck single woman is asked to be the maid of honor for her best friend. Her life unravels as she competes with a wealthy bridesmaid and struggles to keep her friendships intact.,Paul Feig,Kristen Wiig;Melissa McCarthy;Rose Byrne
Groundhog Day,comedy,A cynical weatherman covering the annual Groundhog Day celebration finds himself trapped in a time loop reliving the same day over and over. He uses the endless repetition to improve himself and win over his producer.,Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott
Step Brothers,comedy,Two middle-aged men who still live with their parents are forced to become stepbrothers when their single parents marry and move in together. Their childish rivalry eventually turns into an unbreakable bond.,Adam McKay,Will Ferrell;John C. Reilly;Mary Steenburgen
Dumb and Dumber,comedy,A pair of incredibly dim-witted friends embark on a cross-country trip to return a briefcase full of money to a beautiful woman. Along the way they unwittingly evade criminals who want the money back.,Peter Farrelly,Jim Carrey;Jeff Daniels;Lauren Holly
The Grand Budapest Hotel,comedy,The legendary concierge of a famous European hotel and his young lobby boy become entangled in a family feud over a priceless painting. The story unfolds through layers of narration spanning decades.,Wes Anderson,Ralph Fiennes;F. Murray Abraham;Adrien Brody
Monty Python and the Holy Grail,comedy,King Arthur and his knights embark on an absurd quest for the Holy Grail encountering killer rabbits taunting French soldiers and a three-headed knight. The entire adventure is a masterpiece of surreal British comedy.,Terry Gilliam;Terry Jones,Graham Chapman;John Cleese;Eric Idle
School of Rock,comedy,A failed rock musician posing as a substitute teacher turns his strict prep school classroom into a rock band. He teaches his students to rebel through music while hiding the scheme from the school administration.,Richard Linklater,Jack Black;Joan Cusack;Mike White
21 Jump Street,comedy,Two underachieving cops are sent back to high school as undercover students to bust a drug ring. they struggle to fit in with modern teenagers while dealing with the trauma of reliving adolescence.,Phil Lord;Chris Miller,Jonah Hill;Channing Tatum;Brie Larson
The Shawshank Redemption,drama,A banker wrongly convicted of murder forms an unlikely friendship with a fellow inmate during his decades-long imprisonment at Shawshank State Penitentiary. His quiet dignity and unwavering hope inspire everyone around him.,Frank Darabont,Tim Robbins;Morgan Freeman;Bob Gunton
The Godfather,drama,The aging patriarch of an organized crime dynasty seeks to transfer control of his empire to his reluctant youngest son. A sweeping saga of family loyalty power and the American underworld.,Francis Ford Coppola,Marlon Brando;Al Pacino;James Caan
Forrest Gump,drama,A simple man with a low IQ witnesses and unwittingly influences several defining historical events of the twentieth century. Through it all his only constant is his childhood friend Jenny.,Robert Zemeckis,Tom Hanks;Robin Wright;Gary Sinise
The Social Network,drama,The founding of Facebook is retold through the eyes of its creator Mark Zuckerberg as he navigates friendship betrayal and multiple lawsuits. The story explores ambition and the cost of success in the digital age.,David Fincher,Jesse Eisenberg;Andrew Garfield;Justin Timberlake
Good Will Hunting,drama,A janitor at MIT who is secretly a mathematical genius is discovered by a professor and sent to therapy to work through his emotional issues. With his therapist help he confronts his past and embraces his potential.,Gus Van Sant,Matt Damon;Robin Williams;Ben Affleck
Whiplash,drama,An ambitious young jazz drummer enrolls at a prestigious music school where he falls under the brutal tutelage of an abusive instructor. His obsessive pursuit of greatness pushes him to his physical and emotional limits.,Damien Chazelle,Miles Teller;J.K. Simmons;Paul Reiser
Parasite,drama,Two families from opposite ends of the economic spectrum become intertwined when the impoverished Kim clan infiltrates the wealthy Park household by posing as unrelated professionals. The arrangement leads to shocking and violent consequences.,Bong Joon-ho,Song Kang-ho;Lee Sun-kyun;Cho Yeo-jeong
12 Angry Men,drama,A jury of twelve men must decide the fate of a teenager accused of murder with a seemingly open-and-shut case. One juror casts a reasonable doubt vote forcing the others to examine the evidence more closely.,Sidney Lumet,Henry Fonda;Lee J. Cobb;Martin Balsam
A Beautiful Mind,drama,The true story of mathematician John Nash who made groundbreaking discoveries in game theory while battling schizophrenia. With the support of his wife he learns to manage his condition and eventually receives the Nobel Prize.,Ron Howard,Russell Crowe;Ed Harris;Jennifer Connelly
The Pursuit of Happyness,drama,A struggling salesmans wife leaves him and he becomes homeless while raising his young son alone. He lands an unpaid internship at a brokerage firm and must outwork everyone to secure a paid position.,Gabriele Muccino,Will Smith;Jaden Smith;Thandie Newton
Se7en,thriller,Two detectives one nearing retirement and one newly transferred hunt a serial killer who uses the seven deadly sins as the inspiration for his gruesome murders. The investigation leads to a devastating conclusion that changes both detectives forever.,David Fincher,Brad Pitt;Morgan Freeman;Kevin Spacey
The Silence of the Lambs,thriller,A young FBI trainee seeks the help of the imprisoned cannibalistic serial killer Dr Hannibal Lecter to catch another serial killer who skins his victims. The psychological cat-and-mouse game that follows is tense and terrifying.,Jonathan Demme,Jodie Foster;Anthony Hopkins;Scott Glenn
Gone Girl,thriller,A man becomes the prime suspect in his wifes mysterious disappearance on their fifth wedding anniversary. As the media circus intensifies secrets about both spouses emerge revealing a twisted game of manipulation.,David Fincher,Ben Affleck;Rosamund Pike;Neil Patrick Harris
Zodiac,thriller,In late 1960s San Francisco a cryptic serial killer taunts the police and media with coded letters and ciphers. Three men a cartoonist a reporter and a detective become obsessed with unmasking the Zodiac killer.,David Fincher,Jake Gyllenhaal;Robert Downey Jr.;Mark Ruffalo
